shots_day ,shost_target,number_of_first_shot,total_of_first_shots,first_shots_rate(%), number_of_second_shots, total_of_second_shots,second_shots_rate_(%), number_of_additional_shots_on_the_same_day, total_of_additional_shots,additional_shots_rate_(%),additional_shots_target
2022.1.31,9401888,121,8260854,87.9,185,8151966,86.7,4514,4931033,52.4,9401888
2022.1.30,9401888,123,8260674,87.9,213,8151708,86.7,4483,4926122,52.4,9401888
2022.1.29,9401888,1379,8260439,87.9,3720,8151371,86.7,58784,4921495,52.3,9401888
2022.1.28,9401888,1985,8259078,87.8,5414,8147564,86.7,87893,4860585,51.7,9401888
2022.1.27,9401888,1401,8256582,87.8,3632,8141573,86.6,59051,4771448,50.7,9401888
2022.1.26,9401888,1325,8254731,87.8,3566,8137405,86.6,45468,4711323,50.1,9401888
2022.1.25,9401888,1325,8253058,87.8,3566,8133400,86.5,45468,4665071,49.6,9401888
2022.1.24,9401888,1252,8251502,87.8,4409,8128558,86.5,42318,4622026,49.2,9401888
2022.1.23,9401888,1669,8248713,87.7,6128,8121284,86.4,52910,4568382,48.6,9401888
2022.1.22,9401888,86,8248700,87.7,313,8121039,86.4,2235,4566203,48.6,9401888
2022.1.21,9401888,1409,8247509,87.7,2799,8118261,86.3,45036,4519749,48.1,9401888
2022.1.20,9401888,2176,8244897,87.7,8320,8109394,86.3,79774,4438807,47.2,9401888
2022.1.19,9401888,1480,8243145,87.7,5848,8103195,86.2,51967,4385975,46.6,9401888
2022.1.18,9401888,1432,8241434,87.7,5744,8097109,86.1,36387,4349399,46.3,9401888
2022.1.17,9401888,1735,8239400,87.6,6488,8090244,86,44680,4304485,45.8,9401888
2022.1.16,9401888,2280,8235941,87.6,10094,8078945,85.9,70311,4233567,45,9401888
2022.1.15,9401888,118,8235942,87.6,577,8078465,85.9,3289,4230343,45,9401888
2022.1.14,9401888,1904,8234238,87.6,4587,8073652,85.9,53011,4175126,44.4,9401888
2022.1.13,9401888,3228,8230606,87.5,12951,8060382,85.7,93360,4080181,43.4,9401888
2022.1.12,9401888,2379,8227788,87.5,10320,8049504,85.6,60252,4019205,42.7,9401888
2022.1.11,9401888,2352,8225014,87.5,10888,8038001,85.5,46088,3972202,42.2,9401888
2022.1.10,9401888,2853,8221683,87.4,10733,8026621,85.4,55477,3915982,41.7,9401888
2022.1.9,9401888,3721,8216392,87.4,16667,8008287,85.2,77267,3837808,40.8,9401888
2022.1.8,9401888,144,8216475,87.4,788,8007678,85.2,2926,3835015,40.8,9401888
2022.1.7,9505868,2552,8203031,86.3,12017,7941012,83.5,64827,3385648,35.6,9505868
2022.1.6,9401888,3737,8209818,87.3,16140,7978639,84.9,100727,3664712,39,9401888
2022.1.5,9401888,2833,8206489,87.3,11544,7966424,84.7,64629,3598300,38.3,9401888
2022.1.4,9401888,2907,8202972,87.2,10284,7955403,84.6,54988,3540896,37.7,9401888
2022.1.3,9401888,3998,8198110,87.2,8510,7945831,84.5,60977,3477076,37,9401888
2022.1.2,9505868,6135,8203299,86.3,12197,7941336,83.5,87140,3389052,35.7,9505868
2022.1.1,9505868,10909,8203031,86.3,11292,7941012,83.5,133528,3385648,35.6,9505868
2021.12.31,9505868,642,8202787,86.3,685,7940669,83.5,5694,3375767,35.5,9505868
2021.12.30,9505868,8169,8193446,86.2,9119,7930253,83.4,124821,3246655,34.2,9505868
2021.12.29,9505868,6205,8186171,86.1,6787,7922272,83.3,89986,3152648,33.2,9505868
2021.12.29,9505868,6205,8186171,86.1,6787,7922272,83.3,89986,3152648,64.5,9505868
2021.12.28,9505868,6433,8178419,86,6829,7914050,83.3,89704,3058227,62.5,4890972
2021.12.27,9505868,6756,8170476,86,6998,7905709,83.2,101467,2951272,60.4,4889781
2021.12.26,9505868,10909,8157184,85.8,11292,7891991,83,133528,2816539,57.6,4889820
2021.12.25,9505868,588,8156579,85.8,302,7891675,83,4917,2811221,57.5,4889820
2021.12.24,9505868,1311,8155785,85.8,760,7891397,83,9140,2799633,57.3,4889820
2021.12.23,9505868,12005,8142518,85.7,7438,7882655,82.9,136599,2658645,53.9,4931412
2021.12.22,9505868,10829,8130240,85.5,5278,7875779,82.9,96847,2556957,51.9,4931412
2021.12.21,9505868,12530,8116142,85.4,5940,7868214,82.8,103929,2448022,49.6,4931412
2021.12.20,9505868,11585,8102651,85.2,6111,7860254,82.7,115229,2326441,47.2,4931412
2021.12.19,9505868,18242,8081511,85,9111,7848156,82.6,151971,2173116,44.1,4931412
2021.12.18,9505868,1092,8081114,85,327,7848461,82.6,6576,2166369,43.9,4931412
2021.12.17,9505868,12231,8068292,84.9,7185,7840748,82.5,110052,2048239,41.5,4931412
2021.12.16,9505868,16484,8049235,84.7,12303,7825944,82.3,213984,1828394,37.1,4931412
2021.12.15,9505868,13183,8034078,84.5,8643,7815332,82.2,160375,1663071,17.5,4931412
2021.12.14,9505868,11851,8008859,84.3,7820,7795782,82,170057,1344229,14.1,
2021.12.13,9505868,8483,8008859,84.3,6705,7795782,82,139233,1344229,14.1,
2021.12.12,9505868,11156,7994449,84.1,10094,7782371,81.9,143908,1199359,12.6,
2021.12.11,9505868,304,7994240,84.1,284,7782165,81.9,1826,1197488,12.6,
2021.12.10,9505868,4597,7989408,84,6048,7775785,81.8,59658,1134791,11.9,
2021.12.9,9505868,7970,7978215,83.9,11764,7760751,81.6,144509,988855,10.4,
2021.12.8,9505868,6644,7970030,83.8,7177,7751421,81.5,54764,905390,9.5,
2021.12.7,9505868,6644,7962979,83.8,7177,7743802,81.5,54764,849830,8.9,
2021.12.6,9505868,6319,7955953,83.7,6866,7736180,81.4,54225,794615,8.4,
2021.12.5,9505868,9131,7945695,83.6,11854,7723156,81.2,62802,731310,7.7,
2021.12.4,9505868,346,7945451,83.6,400,7722859,81.2,961,730357,7.7,
2021.12.3,9505868,4416,7940840,83.5,9250,7713303,81.1,21998,707480,7.4,
