tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,CMnGnca3lXh0lDgyqqlIyyO8xfAEi4BywVGaDjrQWWCka1xMR7ewje8Y4A,yu yeshou,281,128,97,False,False,False,False
GRANDMASTER,GjYOM4MU9p-UR8HEaLiUXpJxnpCT9neNpmFGNNzOxIEKaW4ESes2mxz-ag,들을수없는사람,302,77,53,False,False,True,False
GRANDMASTER,U47NQmoYGsNVp-KALqlZUyWgRPhWXHcMl9UrOqA7UY7-eF0,다이아는죄악이다,241,73,62,False,False,True,False
GRANDMASTER,sSW0EJ_IXtp1EmCzoq-mbzFwDThF4W4bPrbIYPra1YMbl4k,엠포지,204,80,65,False,False,True,True
GRANDMASTER,kJIxY2PTFrVyUZB9naxZoXTgT8AD2STi84eyQt3iU4GRNi8ghhHzUzO5gw,첼까지닉변안함,217,100,88,False,False,False,False
GRANDMASTER,Q8vfU2ZcB3-j9yMS3fuARRCVrCBP7M4cGcuMFbg1p2IZq5E,Stay Home,225,56,45,False,False,True,True
GRANDMASTER,qZY0oX-uglXA0AHzNHbH4iQNjj_RAbERgdXwNnX_0TcZPaQ,The life goes on,208,68,50,False,False,True,True
GRANDMASTER,HwF_TonzTfIzZUJ-LTVCiHMBt_zOxEux1T_IJ_C8soit_gY,V5 Rlch,312,73,71,False,False,True,False
GRANDMASTER,m28y1ushI5b6X7bY2zDfA4NALATMFHvssxO_84EHLjbfO6fthzqAXRY6yQ,huya xianfengAhn,303,86,65,False,False,False,False
GRANDMASTER,JXQOO-AfQfc0lKENzG-C7YMgJQl3Buu7na1I4_3dXN9kAVs,Guaqi,253,65,56,False,False,True,False
GRANDMASTER,SKTsPHXndWdA0GfR2VgDzlnPkg7D4x-2NEEaulm5MxUFpJ0,By 불비,468,168,154,True,False,False,False
GRANDMASTER,ADdsZXSbWvXvRNA1Xv6bRWd84_pBwS6Yiy3rOzEpz_GJa29h,레이븐 페르소나,382,86,64,False,False,False,False
GRANDMASTER,mNcX5d0JKL5CsaMWtYftJ8kgpdDVY-W5G9UKgz4zRb2KAH33gbguiKwAXQ,T1 Poby,215,112,102,False,False,False,False
GRANDMASTER,3T-PBkz-m9xGng_W1ewuqCka8McEYe77XdFAWJPWg_bjUTuMGXL9vcit-w,브레이그,209,80,63,False,False,True,False
GRANDMASTER,4asS25GUHgsHwmC3vtyxbNapMwxQE7nb9y4FK-aJPIy1-aNNmzGlCnfNvA,CscyDzhbzBZ,311,73,58,False,False,True,False
